r,x,y_low,y_up
877,70.273273,36.49371,37.26351
878,70.352352,36.49043,37.26140
879,70.431431,36.48715,37.25929
880,70.510511,36.48387,37.25719
881,70.589590,36.48058,37.25508
882,70.668669,36.47730,37.25298
883,70.747748,36.47402,37.25087
884,70.826827,36.47074,37.24877
885,70.905906,36.46745,37.24667
886,70.984985,36.46417,37.24457
887,71.064064,36.46088,37.24246
888,71.143143,36.45760,37.24036
889,71.222222,36.45431,37.23826
890,71.301301,36.45102,37.23616
891,71.380380,36.44774,37.23406
892,71.459459,36.44445,37.23196
893,71.538539,36.44116,37.22987
894,71.617618,36.43787,37.22777
895,71.696697,36.43458,37.22567
896,71.775776,36.43129,37.22357
897,71.854855,36.42800,37.22148
898,71.933934,36.42471,37.21938
899,72.013013,36.42142,37.21729
900,72.092092,36.41813,37.21519
901,72.171171,36.41483,37.21310
902,72.250250,36.41154,37.21101
903,72.329329,36.40825,37.20891
904,72.408408,36.40495,37.20682
905,72.487487,36.40166,37.20473
906,72.566567,36.39836,37.20264
907,72.645646,36.39506,37.20055
908,72.724725,36.39177,37.19846
909,72.803804,36.38847,37.19637
910,72.882883,36.38517,37.19428
911,72.961962,36.38188,37.19219
912,73.041041,36.37858,37.19010
913,73.120120,36.37528,37.18801
914,73.199199,36.37198,37.18593
915,73.278278,36.36868,37.18384
916,73.357357,36.36538,37.18175
917,73.436436,36.36208,37.17967
918,73.515516,36.35877,37.17758
919,73.594595,36.35547,37.17550
920,73.673674,36.35217,37.17341
921,73.752753,36.34887,37.17133
922,73.831832,36.34556,37.16925
923,73.910911,36.34226,37.16717
924,73.989990,36.33895,37.16508
925,74.069069,36.33565,37.16300
926,74.148148,36.33234,37.16092
927,74.227227,36.32904,37.15884
928,74.306306,36.32573,37.15676
929,74.385385,36.32242,37.15468
930,74.464464,36.31912,37.15260
931,74.543544,36.31581,37.15052
932,74.622623,36.31250,37.14844
933,74.701702,36.30919,37.14637
934,74.780781,36.30588,37.14429
935,74.859860,36.30257,37.14221
936,74.938939,36.29926,37.14013
937,75.018018,36.29595,37.13806
938,75.097097,36.29264,37.13598
939,75.176176,36.28933,37.13391
940,75.255255,36.28602,37.13183
941,75.334334,36.28271,37.12976
942,75.413413,36.27939,37.12768
943,75.492492,36.27608,37.12561
944,75.571572,36.27276,37.12354
945,75.650651,36.26945,37.12147
946,75.729730,36.26614,37.11939
947,75.808809,36.26282,37.11732
948,75.887888,36.25951,37.11525
949,75.966967,36.25619,37.11318
950,76.046046,36.25287,37.11111
951,76.125125,36.24956,37.10904
952,76.204204,36.24624,37.10697
953,76.283283,36.24292,37.10490
954,76.362362,36.23960,37.10283
955,76.441441,36.23628,37.10077
956,76.520521,36.23297,37.09870
957,76.599600,36.22965,37.09663
958,76.678679,36.22633,37.09456
959,76.757758,36.22301,37.09250
960,76.836837,36.21969,37.09043
961,76.915916,36.21636,37.08837
962,76.994995,36.21304,37.08630
963,77.074074,36.20972,37.08424
964,77.153153,36.20640,37.08217
965,77.232232,36.20308,37.08011
966,77.311311,36.19975,37.07804
967,77.390390,36.19643,37.07598
968,77.469469,36.19311,37.07392
969,77.548549,36.18978,37.07185
970,77.627628,36.18646,37.06979
971,77.706707,36.18313,37.06773
972,77.785786,36.17981,37.06567
973,77.864865,36.17648,37.06361
974,77.943944,36.17315,37.06155
975,78.023023,36.16983,37.05949
976,78.102102,36.16650,37.05743
977,78.181181,36.16317,37.05537
978,78.260260,36.15984,37.05331
979,78.339339,36.15652,37.05125
980,78.418418,36.15319,37.04919
981,78.497497,36.14986,37.04714
982,78.576577,36.14653,37.04508
983,78.655656,36.14320,37.04302
984,78.734735,36.13987,37.04096
985,78.813814,36.13654,37.03891
986,78.892893,36.13321,37.03685
987,78.971972,36.12988,37.03480
988,79.051051,36.12655,37.03274
989,79.130130,36.12321,37.03069
990,79.209209,36.11988,37.02863
991,79.288288,36.11655,37.02658
992,79.367367,36.11322,37.02453
993,79.446446,36.10988,37.02247
994,79.525526,36.10655,37.02042
995,79.604605,36.10321,37.01837
996,79.683684,36.09988,37.01631
997,79.762763,36.09654,37.01426
998,79.841842,36.09321,37.01221
999,79.920921,36.08987,37.01016
1000,80.000000,36.08654,37.00811
